batter,runs,balls_faced,fours,sixes,strike_rate
V Kohli,7863,6112,693,268,128.65
S Dhawan,6725,5444,763,152,123.53
RG Sharma,6582,5132,592,280,128.25
DA Warner,6478,4778,654,234,135.58
SK Raina,5512,4158,506,202,132.56
MS Dhoni,5243,3947,363,252,132.84
AB de Villiers,5001,3372,395,245,148.31
RV Uthappa,4941,3918,479,182,126.11
CH Gayle,4875,3420,401,348,142.54
KD Karthik,4734,3605,456,156,131.32
KL Rahul,4573,3488,389,183,131.11
F du Plessis,4571,3435,422,166,133.07
AM Rahane,4496,3744,467,100,120.09
SV Samson,4366,3235,345,203,134.96
AT Rayudu,4348,3490,359,173,124.58
G Gambhir,4172,3479,488,59,119.92
SR Watson,3796,2826,366,188,134.32
MK Pandey,3754,3218,326,107,116.66
JC Buttler,3573,2510,354,161,142.35
SA Yadav,3540,2478,379,128,142.86
KA Pollard,3293,2375,212,213,138.65
RR Pant,3205,2211,288,153,144.96
Shubman Gill,3176,2390,305,95,132.89
YK Pathan,3162,2308,256,157,137.0
SS Iyer,3025,2457,266,107,123.12
Q de Kock,2952,2249,297,115,131.26
RA Jadeja,2909,2329,213,106,124.9
WP Saha,2890,2344,287,87,123.29
BB McCullum,2871,2254,292,130,127.37
DA Miller,2870,2140,206,129,134.11
GJ Maxwell,2769,1829,233,160,151.39
PA Patel,2711,2328,351,46,116.45
V Sehwag,2702,1806,330,106,149.61
Yuvraj Singh,2696,2170,213,146,124.24
M Vijay,2598,2186,247,89,118.85
N Rana,2587,1977,230,130,130.85
MA Agarwal,2554,2000,255,94,127.7
Ishan Kishan,2490,1886,246,108,132.03
HH Pandya,2480,1776,188,133,139.64
SPD Smith,2432,1957,220,59,124.27
JH Kallis,2414,2274,254,44,106.16
AD Russell,2413,1472,165,203,163.93
SE Marsh,2412,1868,261,75,129.12
DR Smith,2385,1803,245,117,132.28
RD Gaikwad,2380,1781,217,91,133.63
SR Tendulkar,2334,2044,296,29,114.19
RA Tripathi,2213,1634,221,83,135.43
R Dravid,2174,1918,269,28,113.35
AC Gilchrist,2069,1555,239,92,133.05
AJ Finch,2039,1653,207,77,123.35
KS Williamson,2030,1650,174,63,123.03
MEK Hussey,1977,1648,198,52,119.96
JP Duminy,1962,1636,122,76,119.93
MP Stoinis,1805,1336,142,88,135.1
DPMD Jayawardene,1771,1484,198,39,119.34
PP Shaw,1735,1216,218,57,142.68
N Pooran,1725,1095,111,125,157.53
MK Tiwary,1695,1489,156,40,113.83
Mandeep Singh,1679,1397,172,38,120.19
KC Sangakkara,1656,1391,192,27,119.05
AR Patel,1635,1302,106,79,125.58
YBK Jaiswal,1607,1095,199,64,146.76
KH Pandya,1575,1233,138,58,127.74
DJ Bravo,1560,1247,120,66,125.1
NV Ojha,1546,1340,120,79,115.37
SP Narine,1533,982,164,97,156.11
JM Bairstow,1515,1086,156,65,139.5
D Padikkal,1505,1281,165,40,117.49
SS Tiwary,1481,1282,111,49,115.52
S Dube,1475,1067,85,98,138.24
KK Nair,1460,1160,159,38,125.86
S Badrinath,1439,1243,154,28,115.77
DJ Hooda,1423,1144,94,58,124.39
BJ Hodge,1395,1146,122,43,121.73
EJG Morgan,1371,1156,109,63,118.6
Abhishek Sharma,1370,915,128,73,149.73
VR Iyer,1326,1000,121,61,132.6
DJ Hussey,1322,1101,90,60,120.07
CA Lynn,1309,956,129,66,136.92
SC Ganguly,1303,1292,133,40,100.85
SO Hetmyer,1235,839,75,82,147.2
R Parag,1173,909,84,60,129.04
KM Jadhav,1170,985,99,39,118.78
MM Ali,1162,849,95,67,136.87
Tilak Varma,1156,830,90,58,139.28
TM Dilshan,1148,1037,140,24,110.7
V Shankar,1088,855,80,45,127.25
LMP Simmons,1079,878,109,44,122.89
IK Pathan,1079,938,80,35,115.03
ML Hayden,1074,813,117,42,132.1
M Vohra,1073,852,103,43,125.94
B Sai Sudharsan,1034,770,95,32,134.29
LRPL Taylor,1017,847,66,46,120.07
R Tewatia,1013,788,84,47,128.55
KP Pietersen,1001,758,91,40,132.06
AK Markram,995,787,73,35,126.43
H Klaasen,987,606,56,64,162.87
Y Venugopal Rao,985,864,77,37,114.0
A Symonds,974,781,74,41,124.71
JA Morkel,962,699,60,55,137.63
MC Henriques,956,761,82,28,125.62
CL White,949,758,75,36,125.2
BA Stokes,935,718,81,32,130.22
LS Livingstone,928,602,65,65,154.15
DP Conway,924,669,100,30,138.12
RK Singh,893,654,67,46,136.54
HH Gibbs,886,837,83,31,105.85
SM Curran,883,673,74,37,131.2
STR Binny,868,695,65,34,124.89
Harbhajan Singh,833,635,79,42,131.18
RM Patidar,799,534,51,54,149.63
R Ashwin,794,687,61,28,115.57
MS Bisla,788,719,92,23,109.6
TM Head,772,458,76,40,168.56
ST Jayasuriya,768,573,84,39,134.03
Shakib Al Hasan,764,644,70,21,118.63
P Simran Singh,756,528,78,41,143.18
JM Sharma,730,501,53,45,145.71
GC Smith,724,670,93,9,108.06
AD Mathews,723,596,44,29,121.31
C Green,707,472,62,32,149.79
TL Suman,676,587,55,26,115.16
AM Nayar,672,588,55,20,114.29
MR Marsh,665,532,48,38,125.0
GJ Bailey,663,552,59,19,120.11
TH David,659,417,38,46,158.03
PD Salt,653,385,74,34,169.61
E Lewis,653,493,62,36,132.45
CH Morris,618,413,41,35,149.64
JJ Roy,614,460,75,21,133.48
PP Chawla,604,570,53,19,105.96
JD Ryder,604,466,69,19,129.61
HM Amla,577,418,60,21,138.04
A Badoni,575,470,44,20,122.34
Abdul Samad,554,391,35,35,141.69
M Shahrukh Khan,553,413,35,37,133.9
Rashid Khan,544,352,39,38,154.55
CJ Anderson,538,436,40,31,123.39
Shahbaz Ahmed,536,467,28,25,114.78
RS Bopara,530,460,39,16,115.22
SN Khan,528,422,55,13,125.12
MK Lomror,527,389,33,30,135.48
PJ Cummins,515,359,33,34,143.45
M Manhas,514,486,43,10,105.76
OA Shah,506,405,34,23,124.94
Gurkeerat Singh,505,433,54,11,116.63
SW Billings,503,399,40,20,126.07
JP Faulkner,503,371,34,23,135.58
PC Valthaty,500,425,60,20,117.65
RR Rossouw,473,321,45,25,147.35
DT Christian,460,408,23,19,112.75
SA Asnodkar,423,352,56,10,120.17
Shashank Singh,423,272,33,25,155.51
JR Hopes,417,314,49,11,132.8
NLTC Perera,415,315,22,26,131.75
J Botha,409,364,39,5,112.36
T Stubbs,405,239,26,26,169.46
AL Menaria,401,367,24,18,109.26
MV Boucher,394,318,32,13,123.9
LR Shukla,392,345,32,16,113.62
CA Pujara,390,403,50,4,96.77
Azhar Mahmood,388,311,39,13,124.76
A Mishra,381,440,31,5,86.59
Washington Sundar,378,341,32,9,110.85
DB Ravi Teja,375,325,35,9,115.38
S Sohal,368,311,34,18,118.33
KR Mayers,365,259,36,22,140.93
P Negi,361,298,26,16,121.14
R Powell,360,254,21,28,141.73
Abishek Porel,360,244,37,15,147.54
KV Sharma,351,306,20,17,114.71
DJ Mitchell,351,274,28,10,128.1
N Wadhera,350,261,32,18,134.1
Dhruv Jurel,347,237,29,16,146.41
R Bhatia,342,290,24,13,117.93
P Kumar,340,323,22,17,105.26
AP Tare,339,285,40,11,118.95
J Fraser-McGurk,330,150,32,28,220.0
JEC Franklin,327,309,25,9,105.83
RN ten Doeschate,326,238,26,15,136.97
Anuj Rawat,318,276,26,14,115.22
SN Thakur,307,228,27,13,134.65
B Kumar,306,338,30,3,90.53
Lalit Yadav,305,301,27,7,101.33
DB Das,304,267,23,16,113.86
Nithish Kumar Reddy,303,221,15,21,137.1
C de Grandhomme,303,229,18,18,132.31
LA Pomersbach,302,251,25,13,120.32
R Vinay Kumar,302,283,20,9,106.71
UBT Chand,300,314,32,9,95.54
DJG Sammy,295,251,15,18,117.53
SP Goswami,293,307,32,3,95.44
Rahmanullah Gurbaz,289,228,24,19,126.75
Y Nagar,285,271,20,9,105.17
VVS Laxman,282,271,33,5,104.06
B Chipli,280,256,28,7,109.38
MJ Lumb,278,198,45,6,140.4
PBB Rajapaksa,277,201,22,15,137.81
R Sathish,270,236,22,6,114.41
PK Garg,269,240,16,9,112.08
A Ashish Reddy,266,184,16,14,144.57
JO Holder,259,217,13,18,119.35
MJ Guptill,255,185,23,14,137.84
Atharva Taide,247,177,27,8,139.55
M Kaif,245,241,22,6,101.66
HV Patel,243,212,16,14,114.62
SM Katich,241,191,26,8,126.18
BCJ Cutting,238,146,15,19,163.01
GH Vihari,238,281,21,1,84.7
MD Mishra,237,213,24,8,111.27
Harpreet Brar,233,201,19,9,115.92
A Manohar,231,181,21,10,127.62
WG Jacks,230,133,16,18,172.93
D Brevis,230,176,17,16,130.68
K Gowtham,226,142,14,16,159.15
R Ravindra,222,146,22,12,152.05
K Goel,218,239,17,9,91.21
AA Jhunjhunwala,217,218,19,5,99.54
R Dhawan,210,188,18,7,111.7
UT Yadav,208,211,16,9,98.58
K Rabada,206,207,16,8,99.52
PD Collingwood,203,159,9,13,127.67
KS Bharat,199,168,12,8,118.45
JC Archer,199,132,11,14,150.76
SP Fleming,196,171,27,3,114.62
SK Warne,196,217,14,6,90.32
JD Unadkat,196,169,16,7,115.98
Salman Butt,193,172,30,2,112.21
YV Takawale,192,183,26,3,104.92
HC Brook,190,159,23,4,119.5
Ashutosh Sharma,189,118,10,15,160.17
Bipul Sharma,187,124,11,9,150.81
Mohammad Nabi,184,135,16,9,136.3
FY Fazal,183,179,22,1,102.23
SD Hope,183,125,12,12,146.4
Sikandar Raza,182,143,12,8,127.27
CA Ingram,182,164,20,5,110.98
AC Voges,181,143,15,3,126.57
CR Brathwaite,181,120,10,16,150.83
S Gopal,180,173,19,2,104.05
BJ Rohrer,179,131,19,5,136.64
AB Agarkar,178,159,13,5,111.95
C Munro,177,144,19,8,122.92
MF Maharoof,177,124,12,9,142.74
Kuldeep Yadav,173,219,15,3,79.0
AS Raut,173,155,12,5,111.61
MS Wade,172,165,23,2,104.24
Ramandeep Singh,170,106,8,13,160.38
DH Yagnik,170,142,23,2,119.72
CM Gautam,169,158,17,6,106.96
MN van Wyk,167,135,19,1,123.7
DW Steyn,164,160,14,3,102.5
A Raghuvanshi,163,109,16,8,149.54
N Jagadeesan,162,155,21,2,104.52
MN Samuels,161,174,9,7,92.53
R McLaren,159,178,14,1,89.33
RE van der Merwe,159,144,11,8,110.42
MG Johnson,154,160,9,7,96.25
AD Hales,148,119,13,6,124.37
SM Pollock,147,116,12,8,126.72
S Vidyut,145,115,21,3,126.09
Sachin Baby,144,123,11,5,117.07
PA Reddy,141,145,13,2,97.24
N Saini,140,143,16,0,97.9
Naman Dhir,140,84,12,10,166.67
Anmolpreet Singh,139,117,19,3,118.8
D Wiese,137,96,10,7,142.71
S Anirudha,136,121,9,7,112.4
SB Styris,131,134,10,3,97.76
W Jaffer,130,129,14,3,100.78
RD Chahar,129,127,13,5,101.57
Kamran Akmal,128,78,13,8,164.1
TK Curran,127,108,10,3,117.59
P Dogra,127,141,4,5,90.07
UT Khawaja,127,105,14,3,120.95
SS Prabhudessai,126,113,11,4,111.5
M Morkel,126,93,11,5,135.48
BB Samantray,125,116,13,2,107.76
MM Sharma,124,137,9,4,90.51
B Lee,124,102,8,8,121.57
Harpreet Singh,123,119,10,3,103.36
AB McDonald,123,101,9,4,121.78
DL Vettori,121,118,11,2,102.54
NK Patel,121,124,14,1,97.58
AC Blizzard,120,91,21,2,131.87
TG Southee,120,108,8,4,111.11
MW Short,117,99,15,4,118.18
Misbah-ul-Haq,117,82,10,6,142.68
RJ Harris,117,112,6,3,104.46
Z Khan,117,141,11,2,82.98
KK Cooper,116,70,9,8,165.71
R Shepherd,115,68,7,10,169.12
Aman Hakim Khan,115,109,8,6,105.5
DJM Short,115,102,11,5,112.75
M Kartik,111,107,7,1,103.74
DJ Harris,111,103,11,5,107.77
Mohammed Siraj,109,122,10,4,89.34
MC Juneja,108,116,9,1,93.1
JDP Oram,106,110,6,5,96.36
SE Rutherford,106,107,3,8,99.07
LJ Wright,106,63,16,3,168.25
MA Starc,105,109,11,0,96.33
DS Kulkarni,104,113,7,2,92.04
SD Chitnis,99,92,10,2,107.61
CJ Ferguson,98,119,9,0,82.35
MJ Clarke,98,96,12,0,102.08
RJ Quiney,97,103,12,2,94.17
PN Mankad,97,75,13,2,129.33
MS Gony,97,69,6,8,140.58
Arshad Khan,96,67,5,6,143.28
DJ Jacobs,92,101,10,4,91.09
JDS Neesham,92,93,6,2,98.92
PR Shah,92,97,9,2,94.85
RT Ponting,91,129,5,2,70.54
S Rana,91,82,9,1,110.98
AD Nath,90,99,7,2,90.91
Iqbal Abdulla,88,86,9,1,102.33
SL Malinga,88,102,6,5,86.27
Ankit Sharma,87,69,7,4,126.09
AP Majumdar,87,77,7,2,112.99
MJ McClenaghan,84,72,5,7,116.67
TA Boult,83,82,5,3,101.22
RE Levi,83,74,10,4,112.16
WPUJC Vaas,81,73,2,3,110.96
LA Carseldine,81,71,11,0,114.08
Shahid Afridi,81,46,7,6,176.09
RV Patel,80,76,6,2,105.26
DL Chahar,80,61,2,6,131.15
CR Woakes,78,77,7,2,101.3
JR Philippe,78,80,9,1,97.5
IR Jaggi,76,100,6,0,76.0
B Akhil,76,57,5,5,133.33
TR Birt,75,59,9,2,127.12
Mohammed Shami,74,82,6,2,90.24
M Klinger,73,78,9,0,93.59
RR Sarwan,73,78,6,1,93.59
PWH de Silva,72,80,7,1,90.0
MJ Santner,70,77,4,3,90.91
Vivrant Sharma,69,49,9,2,140.82
AA Bilakhia,69,88,5,0,78.41
JJ Bumrah,68,79,5,1,86.08
LH Ferguson,68,48,6,2,141.67
HR Shokeen,66,67,9,0,98.51
M Jansen,66,71,5,2,92.96
R Sharma,66,77,5,3,85.71
AJ Tye,66,67,4,3,98.51
RR Powar,65,63,6,1,103.17
GD Phillips,65,55,3,6,118.18
WD Parnell,65,86,4,1,75.58
KA Jamieson,65,55,5,3,118.18
Mohammad Hafeez,64,84,7,2,76.19
CJ Jordan,63,67,1,3,94.03
Anirudh Singh,63,69,6,1,91.3
A Flintoff,62,57,5,2,108.77
SP Jackson,61,57,5,1,107.02
S Aravind,59,59,7,0,100.0
MG Bracewell,58,49,6,1,118.37
NM Coulter-Nile,58,63,3,4,92.06
WA Mota,56,76,2,0,73.68
I Sharma,56,70,4,2,80.0
Vishnu Vinod,56,58,3,3,96.55
J Suchith,56,56,4,2,100.0
M Rawat,55,70,4,1,78.57
Sandeep Sharma,54,73,4,0,73.97
DJ Willey,53,64,7,0,82.81
A Chopra,53,75,7,0,70.67
Shoaib Malik,52,49,5,0,106.12
RP Singh,52,78,2,1,66.67
AD Mascarenhas,52,51,3,1,101.96
Swapnil Singh,51,46,3,3,110.87
Sameer Rizvi,51,43,4,2,118.6
Shivam Mavi,51,58,4,2,87.93
OF Smith,51,50,1,5,102.0
VR Aaron,50,73,2,2,68.49
RV Gomez,50,53,5,1,94.34
AS Yadav,49,40,5,2,122.5
AG Paunikar,49,61,9,0,80.33
T Kohler-Cadmore,48,54,7,1,88.89
M Markande,48,44,5,1,109.09
SB Bangar,47,49,1,3,95.92
A Nortje,46,50,6,0,92.0
KB Arun Karthik,46,46,4,1,100.0
D Pretorius,44,28,3,3,157.14
DR Sams,44,48,1,3,91.67
Sunny Singh,43,31,6,1,138.71
PVD Chameera,43,32,3,3,134.38
Azmatullah Omarzai,42,34,2,2,123.53
AB Barath,42,43,5,1,97.67
SK Trivedi,42,61,3,1,68.85
Avesh Khan,41,25,3,3,164.0
A Nehra,41,63,3,1,65.08
LPC Silva,40,27,5,1,148.15
J Yadav,40,38,2,1,105.26
BR Dunk,40,36,7,0,111.11
Rasikh Salam,40,40,5,0,100.0
Umar Gul,39,19,1,5,205.26
DJ Thornely,39,54,2,2,72.22
R Rampaul,39,45,3,1,86.67
S Nadeem,39,88,2,0,44.32
MM Patel,39,41,5,0,95.12
AUK Pathan,39,26,5,2,150.0
YS Chahal,37,89,0,0,41.57
S Narwal,37,29,6,0,127.59
AN Ahmed,36,27,4,1,133.33
Joginder Sharma,36,30,1,2,120.0
Anureet Singh,36,47,2,1,76.6
L Balaji,36,50,2,1,72.0
KW Richardson,36,39,2,1,92.31
Sohail Tanvir,36,31,3,1,116.13
M Ashwin,35,50,2,1,70.0
B Sumanth,35,38,3,0,92.11
A Kumble,35,49,3,0,71.43
A Mithun,34,26,4,1,130.77
AP Dole,34,23,3,1,147.83
L Ronchi,34,37,6,1,91.89
S Sreesanth,34,57,6,0,59.65
D Salunkhe,33,24,5,0,137.5
Navdeep Saini,33,37,3,0,89.19
Imran Tahir,33,37,5,0,89.19
SB Dubey,33,21,3,2,157.14
RJ Peterson,32,32,3,1,100.0
AT Carey,32,29,0,1,110.34
Ravi Bishnoi,32,52,2,0,61.54
S Sriram,31,38,3,0,81.58
T Taibu,31,26,3,0,119.23
Basil Thampi,30,33,1,1,90.91
VH Zol,29,26,3,1,111.54
Arshdeep Singh,29,42,4,0,69.05
SB Jakati,28,30,3,0,93.33
J Syed Mohammad,28,25,4,0,112.0
AS Joseph,27,32,3,0,84.38
Yashpal Singh,27,49,2,0,55.1
AS Roy,26,24,3,0,108.33
AB Dinda,26,50,2,0,52.0
TL Seifert,26,26,4,0,100.0
NL McCullum,26,23,0,1,113.04
AS Rajpoot,26,41,2,1,63.41
DJ Malan,26,26,1,1,100.0
PJ Sangwan,26,47,1,0,55.32
JM Kemp,26,25,1,1,104.0
MD Shanaka,26,26,2,1,100.0
CV Varun,25,49,2,0,51.02
A Choudhary,25,20,1,1,125.0
Sanvir Singh,25,22,2,1,113.64
S Chanderpaul,25,33,4,0,75.76
Mohsin Khan,25,27,2,1,92.59
AJ Turner,24,31,0,2,77.42
Tanush Kotian,24,32,3,0,75.0
MA Khote,24,22,2,1,109.09
KC Cariappa,24,21,0,2,114.29
ER Dwivedi,24,15,2,2,160.0
NS Naik,24,36,1,0,66.67
SW Tait,23,26,1,1,88.46
AF Milne,23,31,0,1,74.19
J Arunkumar,23,24,5,0,95.83
BMAJ Mendis,23,27,0,0,85.19
P Dubey,23,33,2,0,69.7
Umran Malik,23,16,1,2,143.75
KL Nagarkoti,22,34,1,0,64.71
SA Abbott,22,18,1,2,122.22
GB Hogg,22,22,1,0,100.0
HE van der Dussen,22,25,2,0,88.0
Yudhvir Singh,22,16,1,2,137.5
AU Rashid,22,17,2,1,129.41
TU Deshpande,21,15,2,1,140.0
DE Bollinger,21,23,1,1,91.3
B Indrajith,21,31,2,0,67.74
NJ Maddinson,20,21,4,0,95.24
M Muralitharan,20,30,1,0,66.67
C Sakariya,20,31,3,0,64.52
RR Raje,20,18,1,1,111.11
AC Thomas,20,19,1,1,105.26
S Kaul,20,36,1,0,55.56
R Bishnoi,19,17,1,2,111.76
NT Ellis,19,26,0,1,73.08
Gulbadin Naib,19,15,1,1,126.67
DR Martyn,19,26,1,0,73.08
A Mukund,19,23,1,0,82.61
JR Hazlewood,19,29,1,0,65.52
Akash Deep,19,12,2,1,158.33
R Shukla,19,23,2,0,82.61
P Sahu,19,13,1,1,146.15
Y Gnaneswara Rao,19,18,3,0,105.56
P Ray Barman,19,25,2,0,76.0
Saurav Chauhan,18,16,1,1,112.5
KMA Paul,18,26,1,1,69.23
JJ van der Wath,18,17,1,1,105.88
DS Lehmann,18,19,3,0,94.74
Sumit Kumar,18,26,2,1,69.23
BJ Haddin,18,11,2,1,163.64
Harmeet Singh,18,12,3,0,150.0
PV Tambe,18,39,1,0,46.15
T Banton,18,22,1,1,81.82
Naveen-ul-Haq,18,26,2,0,69.23
Parvez Rasool,17,20,1,0,85.0
JA Richardson,17,27,2,0,62.96
YV Dhull,16,23,1,0,69.57
PP Ojha,16,45,0,0,35.56
CK Kapugedera,16,24,0,0,66.67
AJ Hosein,16,11,1,1,145.45
SD Lad,15,13,1,1,115.38
C Madan,15,21,3,0,71.43
A Zampa,15,25,1,0,60.0
JL Pattinson,15,13,2,0,115.38
I Udana,15,11,1,1,136.36
GR Napier,15,16,1,0,93.75
VY Mahesh,15,28,0,0,53.57
F Behardien,14,13,2,0,107.69
Vijaykumar Vyshak,14,13,0,1,107.69
MDKJ Perera,14,13,3,0,107.69
G Coetzee,14,22,0,1,63.64
FA Allen,14,19,1,0,73.68
Mustafizur Rahman,13,23,0,1,56.52
DR Shorey,13,20,0,1,65.0
KJ Abbott,13,8,0,1,162.5
Kartik Tyagi,13,16,1,0,81.25
S Badree,13,25,0,0,52.0
Noor Ahmad,13,18,2,0,72.22
DT Patil,13,13,1,0,100.0
Arjun Tendulkar,13,9,0,1,144.44
R Sai Kishore,13,6,0,2,216.67
Karanveer Singh,12,17,1,0,70.59
Mujeeb Ur Rahman,12,15,2,0,80.0
MA Wood,12,10,1,1,120.0
AR Bawne,12,12,1,0,100.0
T Thushara,12,19,0,0,63.16
K Upadhyay,12,9,0,1,133.33
DG Nalkande,12,12,0,1,100.0
DAJ Bracewell,12,9,1,0,133.33
AA Chavan,12,11,2,0,109.09
T Kohli,11,20,0,1,55.0
M Ntini,11,19,2,0,57.89
Virat Singh,11,12,1,0,91.67
T Henderson,11,16,0,1,68.75
RA Bawa,11,14,1,0,78.57
DNT Zoysa,11,9,1,0,122.22
D du Preez,10,13,0,0,76.92
SMSM Senanayake,10,17,0,0,58.82
X Thalaivan Sargunam,10,17,0,0,58.82
KAJ Roach,10,9,1,0,111.11
AG Murtaza,10,14,1,0,71.43
RK Bhui,10,27,0,0,37.04
BB Sran,10,14,0,0,71.43
JE Root,10,15,1,0,66.67
J Theron,10,11,1,0,90.91
Mukesh Kumar,10,20,0,0,50.0
TD Paine,10,29,0,0,34.48
AA Kulkarni,9,8,2,0,112.5
AA Noffke,9,12,1,0,75.0
SM Harwood,9,14,0,0,64.29
VG Arora,9,17,0,0,52.94
M Prasidh Krishna,9,24,0,0,37.5
L Wood,9,3,0,1,300.0
K Kartikeya,9,13,1,0,69.23
CJ McKay,8,15,0,0,53.33
OC McCoy,8,5,0,1,160.0
P Chopra,8,6,2,0,133.33
CK Langeveldt,8,9,0,1,88.89
TM Srivastava,8,11,0,0,72.73
JPR Scantlebury-Searles,8,6,0,1,133.33
Jaskaran Singh,8,11,0,0,72.73
TS Mills,8,14,0,1,57.14
D Ferreira,8,11,0,0,72.73
V Viyaskanth,7,5,0,0,140.0
AN Ghosh,7,8,1,0,87.5
M Theekshana,7,7,0,1,100.0
I Malhotra,7,4,1,0,175.0
VS Malik,7,7,1,0,100.0
UA Birla,7,15,1,0,46.67
Simarjeet Singh,7,8,0,0,87.5
KS Sharma,7,9,1,0,77.78
Pankaj Singh,7,12,0,0,58.33
IS Sodhi,7,18,0,0,38.89
SS Shaikh,6,7,1,0,85.71
BA Bhatt,6,7,0,1,85.71
Mukesh Choudhary,6,6,1,0,100.0
JP Behrendorff,6,9,0,0,66.67
SB Joshi,6,16,0,0,37.5
PSP Handscomb,6,12,0,0,50.0
DM Bravo,6,5,1,0,120.0
SH Johnson,6,7,1,0,85.71
Shivam Sharma,5,3,1,0,166.67
Arshad Khan (2),5,4,1,0,125.0
B Stanlake,5,2,1,0,250.0
B Laughlin,5,13,0,0,38.46
SJ Srivastava,5,5,0,0,100.0
KMDN Kulasekara,5,3,1,0,166.67
P Awana,5,14,0,0,35.71
Liton Das,4,4,1,0,100.0
RS Sodhi,4,2,1,0,200.0
DP Nannes,4,13,0,0,30.77
A Chandila,4,7,0,0,57.14
FH Edwards,4,5,0,0,80.0
A Uniyal,4,7,0,0,57.14
Akash Madhwal,4,5,0,0,80.0
GD McGrath,4,5,1,0,80.0
A Tomar,4,8,1,0,50.0
A Dananjaya,4,5,0,0,80.0
CRD Fernando,4,3,0,0,133.33
VRV Singh,4,3,1,0,133.33
Younis Khan,3,7,0,0,42.86
Kumar Kushagra,3,7,0,0,42.86
GC Viljoen,3,7,0,0,42.86
Kamran Khan,3,5,0,0,60.0
Mohammad Asif,3,6,0,0,50.0
JE Taylor,3,4,0,0,75.0
Fazalhaq Farooqi,3,13,0,0,23.08
RJW Topley,3,6,0,0,50.0
T Natarajan,3,5,0,0,60.0
BAW Mendis,3,6,0,0,50.0
D Kalyankrishna,3,8,0,0,37.5
R Ninan,3,6,0,0,50.0
S Tyagi,3,4,0,0,75.0
Shivam Singh,2,3,0,0,66.67
Harshit Rana,2,3,0,0,66.67
RG More,2,2,0,0,100.0
RJ Gleeson,2,2,0,0,100.0
A Singh,2,10,0,0,20.0
Mohammad Ashraful,2,12,0,0,16.67
VS Yeligati,2,2,0,0,100.0
RS Gavaskar,2,8,0,0,25.0
BR Sharath,2,5,0,0,40.0
A Kamboj,2,2,0,0,100.0
Mashrafe Mortaza,2,2,0,0,100.0
S Randiv,2,4,0,0,50.0
Shoaib Akhtar,2,8,0,0,25.0
SB Wagh,2,3,0,0,66.67
H Das,2,5,0,0,40.0
T Shamsi,2,4,0,0,50.0
KP Appanna,2,4,0,0,50.0
GHS Garton,2,4,0,0,50.0
Shoaib Ahmed,1,6,0,0,16.67
BE Hendricks,1,3,0,0,33.33
M de Lange,1,2,0,0,50.0
SZ Mulani,1,1,0,0,100.0
SE Bond,1,2,0,0,50.0
PM Sarvesh Kumar,1,2,0,0,50.0
NJ Rimmington,1,1,0,0,100.0
KA Maharaj,1,2,0,0,50.0
LE Plunkett,1,3,0,0,33.33
LB Williams,1,2,0,0,50.0
DJ Muthuswami,1,3,0,0,33.33
DP Vijaykumar,1,1,0,0,100.0
MJ Suthar,1,2,0,0,50.0
Abdul Basith,1,1,0,0,100.0
Mohit Rathee,1,2,0,0,50.0
HF Gurney,1,5,0,0,20.0
KK Ahmed,1,7,0,0,14.29
P Parameswaran,1,3,0,0,33.33
SS Cottrell,0,2,0,0,0.0
Yash Dayal,0,1,0,0,0.0
YA Abdulla,0,1,0,0,0.0
Abdur Razzak,0,2,0,0,0.0
KR Sen,0,3,0,0,0.0
Y Prithvi Raj,0,1,0,0,0.0
L Ablish,0,2,0,0,0.0
RR Bhatkal,0,2,0,0,0.0
S Lamichhane,0,1,0,0,0.0
K Yadav,0,4,0,0,0.0
S Ladda,0,10,0,0,0.0
S Kaushik,0,1,0,0,0.0
JL Denly,0,1,0,0,0.0
C Nanda,0,1,0,0,0.0
RP Meredith,0,3,0,0,0.0
IC Pandey,0,2,0,0,0.0
V Pratap Singh,0,1,0,0,0.0
Mayank Dagar,0,1,0,0,0.0
U Kaul,0,1,0,0,0.0
R Sanjay Yadav,0,2,0,0,0.0
Sunny Gupta,0,1,0,0,0.0
ND Doshi,0,13,0,0,0.0
Ankit Soni,0,7,0,0,0.0
KM Asif,0,2,0,0,0.0
